    PID TTY          TIME CMD
    867 ?        00:00:00 pulseaudio
   1843 ?        00:02:01 qterminal
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
     15 ?        00:00:14 rcu_preempt
     11 ?        00:00:00 rcu_tasks_kthread
     12 ?        00:00:00 rcu_tasks_rude_kthread
     13 ?        00:00:00 rcu_tasks_trace_kthread
    607 ?        00:00:00 rpciod
    789 ?        00:00:00 rtkit-daemon
    180 ?        00:00:00 scsi_eh_0
    182 ?        00:00:00 scsi_eh_1
    262 ?        00:00:00 scsi_eh_2
    181 ?        00:00:00 scsi_tmf_0
    183 ?        00:00:00 scsi_tmf_1
    263 ?        00:00:00 scsi_tmf_2
      5 ?        00:00:00 slub_flushwq
    930 ?        00:00:00 ssh-agent
      1 ?        00:00:02 systemd
    851 ?        00:00:00 systemd
    355 ?        00:00:01 systemd-journal
    598 ?        00:00:00 systemd-logind
  51523 ?        00:00:00 systemd-network
    380 ?        00:00:01 systemd-udevd
     51 ?        00:00:00 tpm_dev_wq
  81208 ?        00:00:00 tumblerd
   1123 ?        00:00:00 udisksd
   1007 ?        00:00:05 upowerd
    498 ?        00:00:33 vmtoolsd
   1122 ?        00:00:33 vmtoolsd
    372 ?        00:00:00 vmware-vmblock-
     44 ?        00:00:00 writeback
   1168 ?        00:00:01 xcape
   1514 ?        00:00:00 xdg-desktop-por
   1530 ?        00:00:00 xdg-desktop-por
   1518 ?        00:00:00 xdg-document-po
   1521 ?        00:00:00 xdg-permission-
     99 ?        00:00:00 xenbus_probe
   1073 ?        00:00:01 xfce4-notifyd
   1012 ?        00:00:03 xfce4-panel
   1061 ?        00:00:00 xfce4-power-man
    877 ?        00:00:01 xfce4-session
    955 ?        00:00:00 xfconfd
   1021 ?        00:00:02 xfdesktop
   1004 ?        00:00:01 xfsettingsd
    973 ?        00:01:39 xfwm4
   1102 ?        00:00:00 xiccd
    608 ?        00:00:00 xprtiod
   1846 pts/0    00:01:14 zsh
    111 ?        00:00:00 zswap-shrink
